text,label
"Dear Jordan, your subscription has been successfully renewed. Thank you for your continued support.",0
"Dear Casey, thank you for your purchase. Your order will be shipped soon.",0
Congratulations! You've won a $3000 gift card. Click here to claim your prize.,1
You have a new secure message from your bank. Click here to read it.,1
Your package delivery is pending. Please provide your personal information to confirm delivery.,1
"Hi Drew, it was great meeting you at the conference. Let's catch up for coffee next week.",0
Your package delivery is pending. Please provide your personal information to confirm delivery.,1
"Hi Alex, it was great meeting you at the conference. Let's catch up for coffee next week.",0
Alert: Unusual login attempt detected. Verify your account by clicking here.,1
Your subscription is about to expire. Renew now to continue enjoying our services.,1
"Hello Alex, here is your weekly update on the project's progress. Please review and provide feedback.",0
Your subscription is about to expire. Renew now to continue enjoying our services.,1
Your package delivery is pending. Please provide your personal information to confirm delivery.,1
"Dear John, we are pleased to inform you about our upcoming webinar. Register now to secure your spot.",0
"Dear Sam, thank you for your purchase. Your order will be shipped soon.",0
"Hi Morgan, please find the attached report for this month's performance review.",0
"Hi Morgan, please find the attached report for this month's performance review.",0
"Hi Casey, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",0
"Hi John, please find the attached report for this month's performance review.",0
Please find attached the minutes from our last meeting. Let me know if you have any questions.,0
Reminder: Our meeting is scheduled for tomorrow at 10 AM. Please be prepared with your updates.,0
Important: Update your email account settings to avoid service interruption.,1
You have a new secure message from your bank. Click here to read it.,1
Please find attached the minutes from our last meeting. Let me know if you have any questions.,0
Alert: Unusual login attempt detected. Verify your account by clicking here.,1
"Dear Jane, your account has been compromised. Click the link to reset your password immediately.",1
"Hi Jordan, please find the attached report for this month's performance review.",0
Welcome to our newsletter! Stay tuned for the latest updates and offers.,0
"Dear Jane, we are pleased to inform you about our upcoming webinar. Register now to secure your spot.",0
"Hi Taylor, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",0
"Hi Drew, it was great meeting you at the conference. Let's catch up for coffee next week.",0
Please find attached the minutes from our last meeting. Let me know if you have any questions.,0
"Dear Alex, your account has been compromised. Click the link to reset your password immediately.",1
Your package delivery is pending. Please provide your personal information to confirm delivery.,1
Welcome to our newsletter! Stay tuned for the latest updates and offers.,0
Welcome to our newsletter! Stay tuned for the latest updates and offers.,0
